transaction_id,amount,transaction_type,merchant_category,customer_age,card_type,country,hour,device,is_fraud
TXN100000,abc,Online,Electronics,26.0,Debit,canada,1,web,1
TXN100001,5265.36,ATM,food,94.0,credit,UK,-2,web,1
TXN100002,326.89,online,food,90.0,credit,UAE,17,,0
TXN100003,abc,pos,Electronics,2.0,CREDIT,usa,-5,,1
TXN100004,abc,ONLINE,Electronics,60.0,Debit,UK,-4,,0
TXN100005,14253.91,ATM,Travel,71.0,CREDIT,canada,25,POS,1
TXN100006,,Online,travel,93.0,Debit,canada,18,web,0
TXN100007,766.74,online,electronics,,Debit,usa,-2,,0
TXN100008,380.86,ATM,grocry,89.0,credit,india,13,POS,0
TXN100009,1457.97,ATM,travel,9.0,Credit,Canada,30,mobile,1
TXN100010,900.42,ONLINE,travel,33.0,credit,UAE,2,web,1
TXN100011,14468.49,ONLINE,food,4.0,CREDIT,canada,27,,1
TXN100012,abc,online,Electronics,55.0,credit,India,-5,mobile,0
TXN100013,,Online,electronics,,Credit,UAE,13,,0
TXN100014,534.67,ATM,grocry,21.0,Credit,India,6,,0
TXN100015,279.31,POS,grocry,21.0,Credit,UK,13,,0
TXN100016,1354.15,POS,travel,,Debit,UAE,4,mobile,1
TXN100017,abc,online,groceries,8.0,credit,usa,5,web,1
TXN100018,14415.96,pos,groceries,91.0,CREDIT,India,-3,,1
TXN100019,,ONLINE,grocry,18.0,credit,India,-3,mobile,0
TXN100020,8695.27,POS,travel,85.0,credit,UK,24,,1
TXN100021,7817.56,ATM,Travel,,CREDIT,USA,-2,mobile,1
TXN100022,abc,Online,entertainment,53.0,credit,usa,22,POS,0
TXN100023,6480.94,online,travel,1.0,Credit,usa,-1,,1
TXN100024,14257.64,Online,electronics,7.0,CREDIT,canada,21,mobile,1
TXN100025,,Online,Electronics,90.0,Credit,India,-4,POS,0
TXN100026,abc,ONLINE,food,61.0,credit,india,5,mobile,0
TXN100027,abc,POS,grocry,88.0,credit,canada,30,web,0
TXN100028,abc,pos,Travel,89.0,debit,Canada,12,web,0
TXN100029,14403.64,pos,travel,85.0,CREDIT,India,28,POS,1
TXN100030,9421.6,pos,entertainment,68.0,CREDIT,Canada,-4,web,1
TXN100031,1210.81,Online,entertainment,,Debit,India,-2,web,0
TXN100032,225.62,POS,Electronics,29.0,Debit,India,-2,,0
TXN100033,,pos,food,9.0,debit,UAE,30,POS,1
TXN100034,10213.0,ONLINE,entertainment,88.0,CREDIT,Canada,17,web,1
TXN100035,6528.05,online,food,,debit,USA,27,mobile,1
TXN100036,,POS,groceries,,debit,India,-4,,0
TXN100037,,ATM,electronics,71.0,debit,USA,-2,web,0
TXN100038,8791.04,POS,Travel,,CREDIT,usa,29,mobile,1
TXN100039,1499.86,ATM,groceries,1.0,credit,UK,27,mobile,1
TXN100040,abc,ONLINE,electronics,10.0,CREDIT,usa,26,,1
TXN100041,598.0,pos,Electronics,24.0,Debit,USA,27,POS,0
TXN100042,108.09,POS,entertainment,,Credit,canada,-1,,0
TXN100043,,POS,food,89.0,Credit,usa,-2,,0
TXN100044,917.45,POS,Travel,88.0,CREDIT,Canada,-1,,0
TXN100045,20.18,Online,food,,debit,UAE,0,,1
TXN100046,abc,POS,Travel,90.0,debit,india,9,web,0
TXN100047,12428.81,Online,Electronics,89.0,credit,India,9,POS,1
TXN100048,abc,online,groceries,,credit,USA,-3,,0
TXN100049,abc,POS,grocry,,credit,USA,30,POS,0
TXN100050,,pos,Electronics,,debit,india,26,,0
TXN100051,95.04,Online,Electronics,2.0,Credit,usa,-5,,1
TXN100052,abc,ATM,travel,8.0,CREDIT,India,13,web,1
TXN100053,1363.08,online,electronics,94.0,debit,usa,-3,POS,0
TXN100054,753.21,pos,groceries,90.0,credit,usa,7,POS,0
TXN100055,12631.09,POS,entertainment,,debit,usa,-3,POS,1
TXN100056,abc,POS,entertainment,36.0,debit,usa,10,,0
TXN100057,1298.04,ATM,entertainment,88.0,Debit,UAE,20,web,0
TXN100058,abc,POS,entertainment,1.0,Credit,india,-5,mobile,1
TXN100059,340.93,POS,grocry,92.0,Debit,india,13,,0
TXN100060,8835.86,online,travel,90.0,credit,india,30,,1
TXN100061,9896.4,POS,entertainment,,debit,Canada,-4,web,1
TXN100062,abc,ATM,entertainment,7.0,debit,USA,-1,mobile,1
TXN100063,,online,electronics,,CREDIT,Canada,19,POS,0
TXN100064,,ONLINE,entertainment,73.0,Credit,india,7,mobile,0
TXN100065,668.3,online,Travel,89.0,CREDIT,canada,-4,,0
TXN100066,6800.57,online,food,4.0,Credit,UAE,-3,mobile,1
TXN100067,abc,ATM,electronics,90.0,debit,india,-3,,0
TXN100068,abc,pos,travel,,CREDIT,USA,28,,0
TXN100069,14029.35,pos,Travel,94.0,Credit,usa,-5,mobile,1
TXN100070,871.46,ONLINE,Travel,7.0,Credit,Canada,16,POS,1
TXN100071,abc,ATM,Travel,69.0,Credit,India,30,POS,0
TXN100072,abc,pos,grocry,95.0,Debit,canada,24,web,0
TXN100073,abc,pos,Electronics,,CREDIT,canada,3,POS,1
TXN100074,6161.2,pos,electronics,,Debit,UK,-5,,1
TXN100075,615.13,ATM,Travel,8.0,CREDIT,usa,28,POS,1
TXN100076,95.52,POS,grocry,60.0,credit,Canada,30,web,0
TXN100077,12651.57,pos,Electronics,4.0,Debit,USA,25,POS,1
TXN100078,1198.78,Online,groceries,94.0,credit,UK,25,,0
TXN100079,,POS,Travel,,Debit,India,29,,0
TXN100080,455.94,online,entertainment,72.0,debit,UAE,26,web,0
TXN100081,abc,POS,travel,,credit,usa,20,,0
TXN100082,abc,POS,food,,CREDIT,india,-4,mobile,0
TXN100083,,online,Travel,69.0,Debit,Canada,-5,,0
TXN100084,abc,pos,travel,2.0,Credit,UAE,26,POS,1
TXN100085,7785.68,POS,groceries,5.0,CREDIT,india,10,web,1
TXN100086,9007.84,ATM,groceries,,debit,UAE,-4,POS,1
TXN100087,1166.37,online,electronics,28.0,CREDIT,UAE,27,,0
TXN100088,624.2,ONLINE,food,,Debit,india,27,mobile,0
TXN100089,8014.19,Online,travel,36.0,debit,canada,27,web,1
TXN100090,abc,online,food,73.0,debit,usa,27,,0
TXN100091,1065.7,POS,groceries,,CREDIT,usa,-5,,0
TXN100092,abc,ATM,Travel,32.0,Debit,usa,-1,POS,0
TXN100093,13189.49,Online,grocry,5.0,Debit,UK,25,,1
TXN100094,,ATM,Travel,,credit,UAE,-3,,0
TXN100095,abc,POS,entertainment,90.0,credit,usa,-1,,0
TXN100096,872.59,POS,Electronics,10.0,credit,UAE,3,,1
TXN100097,,POS,electronics,,debit,Canada,24,POS,0
TXN100098,,ONLINE,travel,87.0,credit,UK,29,,0
TXN100099,197.78,ONLINE,food,59.0,debit,Canada,0,web,1
TXN100100,12661.56,Online,electronics,27.0,Debit,USA,30,web,1
TXN100101,6542.53,ATM,electronics,,CREDIT,India,26,,1
TXN100102,,Online,Travel,,CREDIT,canada,16,web,0
TXN100103,abc,online,entertainment,73.0,Debit,usa,9,POS,0
TXN100104,,online,Electronics,70.0,debit,USA,12,,0
TXN100105,1491.82,ONLINE,grocry,6.0,credit,india,30,,1
TXN100106,675.66,online,travel,,credit,india,7,web,0
TXN100107,,online,grocry,71.0,Debit,India,-4,mobile,0
TXN100108,,Online,grocry,51.0,debit,UAE,-2,mobile,0
TXN100109,5675.6,ATM,grocry,10.0,credit,Canada,30,web,1
TXN100110,,ATM,electronics,,credit,india,6,mobile,0
TXN100111,,pos,entertainment,1.0,CREDIT,Canada,1,POS,1
TXN100112,,POS,Travel,,CREDIT,india,-2,,0
TXN100113,abc,ONLINE,grocry,95.0,CREDIT,UAE,25,,0
TXN100114,abc,pos,food,,CREDIT,UK,30,,0
TXN100115,abc,ONLINE,food,10.0,debit,Canada,11,,1
TXN100116,abc,ATM,travel,2.0,debit,canada,-5,,1
TXN100117,,Online,grocry,2.0,debit,usa,-3,mobile,1
TXN100118,abc,Online,electronics,6.0,credit,India,-4,mobile,1
TXN100119,,pos,electronics,86.0,debit,UAE,-2,,0
TXN100120,115.26,POS,entertainment,9.0,Debit,UK,4,mobile,1
TXN100121,8041.25,ONLINE,Electronics,40.0,CREDIT,India,20,POS,1
TXN100122,5934.28,pos,electronics,94.0,Debit,USA,24,,1
TXN100123,,pos,groceries,89.0,debit,India,-2,mobile,0
TXN100124,,POS,entertainment,6.0,CREDIT,Canada,23,POS,1
TXN100125,6061.84,POS,grocry,8.0,credit,USA,30,,1
TXN100126,13653.08,ONLINE,Travel,,debit,india,-5,,1
TXN100127,abc,online,groceries,,CREDIT,USA,-2,POS,0
TXN100128,,online,Electronics,41.0,debit,UAE,30,,0
TXN100129,,ONLINE,Travel,6.0,Debit,canada,16,web,1
TXN100130,,Online,electronics,10.0,debit,india,28,,1
TXN100131,,online,Travel,91.0,credit,UAE,8,mobile,0
TXN100132,,Online,Electronics,10.0,credit,UAE,-2,web,1
TXN100133,,ATM,groceries,3.0,Debit,Canada,-2,POS,1
TXN100134,abc,pos,Travel,,Credit,India,8,POS,0
TXN100135,,ONLINE,entertainment,89.0,credit,canada,12,POS,0
TXN100136,67.89,ONLINE,entertainment,5.0,Credit,india,17,,1
TXN100137,1112.63,ATM,Electronics,58.0,debit,Canada,24,web,0
TXN100138,10503.53,POS,entertainment,89.0,CREDIT,USA,25,mobile,1
TXN100139,6750.65,online,food,87.0,credit,USA,9,POS,1
TXN100140,,Online,entertainment,86.0,Credit,UAE,20,mobile,0
TXN100141,12907.68,Online,food,93.0,credit,canada,21,,1
TXN100142,abc,POS,Electronics,90.0,Debit,USA,8,mobile,0
TXN100143,9653.95,POS,travel,95.0,CREDIT,India,7,,1
TXN100144,,ATM,entertainment,9.0,Credit,usa,28,POS,1
TXN100145,121.76,pos,Electronics,9.0,CREDIT,UAE,29,,1
TXN100146,140.96,POS,electronics,50.0,Debit,UAE,21,,0
TXN100147,5030.15,pos,grocry,20.0,Debit,USA,-2,,1
TXN100148,,ONLINE,food,46.0,Debit,UK,20,,0
TXN100149,6273.47,online,groceries,,Debit,canada,-4,web,1
TXN100150,417.1,online,food,1.0,credit,usa,27,mobile,1
TXN100151,,Online,Electronics,87.0,Credit,Canada,30,POS,0
TXN100152,13762.58,POS,travel,1.0,debit,UAE,29,,1
TXN100153,,POS,electronics,,Credit,India,-4,mobile,0
TXN100154,14677.86,POS,Electronics,34.0,debit,Canada,2,mobile,1
TXN100155,406.35,online,Electronics,10.0,debit,India,10,web,1
TXN100156,,Online,Electronics,93.0,CREDIT,canada,-1,POS,0
TXN100157,,POS,grocry,8.0,CREDIT,Canada,13,web,1
TXN100158,,ONLINE,electronics,,Debit,India,29,POS,0
TXN100159,,POS,electronics,6.0,Debit,UAE,5,,1
TXN100160,55.57,online,food,4.0,credit,India,16,,1
TXN100161,,ATM,entertainment,,credit,USA,-3,mobile,0
TXN100162,,Online,grocry,2.0,Credit,India,-1,POS,1
TXN100163,,POS,Electronics,62.0,credit,usa,27,,0
TXN100164,5094.5,online,entertainment,95.0,Debit,usa,16,,1
TXN100165,715.87,ATM,travel,75.0,Credit,Canada,0,,1
TXN100166,7992.77,pos,food,,Credit,usa,16,,1
TXN100167,,ONLINE,groceries,,Credit,Canada,17,,0
TXN100168,abc,Online,grocry,,Credit,canada,10,mobile,0
TXN100169,abc,online,electronics,,Debit,canada,-5,,0
TXN100170,abc,POS,groceries,36.0,Debit,India,25,,0
TXN100171,abc,POS,electronics,91.0,debit,india,-5,web,0
TXN100172,9958.02,POS,grocry,,CREDIT,canada,-2,,1
TXN100173,8206.65,POS,Travel,90.0,debit,India,-2,POS,1
TXN100174,10638.51,ATM,groceries,,CREDIT,usa,25,POS,1
TXN100175,,POS,grocry,,Debit,canada,-5,,0
TXN100176,892.76,Online,Travel,,CREDIT,canada,-5,web,0
TXN100177,10187.98,POS,Travel,8.0,CREDIT,USA,-5,mobile,1
TXN100178,14406.76,ONLINE,travel,,CREDIT,UAE,29,,1
