transaction_id,amount,customer_age,hour,transaction_type,merchant_category,card_type,country,device,is_fraud
TXN100000,56.31,68.0,23,purchase,grocery,credit,Somalia,mobile,0
TXN100001,361.21,57.0,4,transfer,,credit,Somalia,web,0
TXN100002,158.01,24.0,8,transfer,travel,debit,Ethiopia,web,0
TXN100003,109.55,49.0,9,transfer,electronics,credit,Somalia,mobile,0
TXN100004,20.35,65.0,12,purchase,travel,credit,Somalia,mobile,0
TXN100005,20.35,36.0,14,transfer,travel,debit,Somalia,mobile,0
TXN100006,7.18,23.0,11,transfer,travel,credit,Ethiopia,mobile,0
TXN100007,241.35,37.0,4,cash_withdrawal,telecom,debit,Somalia,web,0
TXN100008,110.29,44.0,4,cash_withdrawal,travel,credit,Kenya,mobile,0
TXN100009,147.75,70.0,17,transfer,grocery,debit,Somalia,mobile,0
TXN100010,2.5,60.0,11,transfer,electronics,debit,Somalia,web,0
TXN100011,420.43,54.0,2,transfer,telecom,debit,Somalia,web,0
TXN100012,1368.2935856563597,65.0,23,transfer,travel,credit,Ethiopia,web,1
TXN100013,28.64,24.0,16,cash_withdrawal,grocery,credit,Ethiopia,mobile,0
TXN100014,24.08,22.0,18,purchase,electronics,credit,Somalia,web,0
TXN100015,24.31,28.0,17,transfer,travel,credit,Somalia,WEB,0
TXN100016,43.53,32.0,0,transfer,electronics,debit,Ethiopia,mobile,0
TXN100017,8072.1209049413255,20.0,23,cash_withdrawal,telecom,credit,Kenya,web,0
TXN100018,67.86,22.0,4,transfer,telecom,credit,Somalia,web,0
TXN100019,41.31,40.0,1,transfer,grocery,debit,Somalia,mobile,0
TXN100020,113.56,70.0,0,cash_withdrawal,telecom,debit,Kenya,web,0
TXN100021,18.03,54.0,6,transfer,grocery,debit,Kenya,web,0
TXN100022,41.46,26.0,10,transfer,travel,debit,Djibouti,web,0
TXN100023,54.75,32.0,10,cash_withdrawal,electronics,credit,Ethiopia,web,0
TXN100024,73.07,20.0,17,purchase,telecom,debit,Somalia,web,0
TXN100025,184.55,46.0,16,transfer,electronics,credit,Kenya,mobile,0
TXN100026,26.73,23.0,1,transfer,electronics,credit,Somalia,web,0
TXN100027,86.64,34.0,6,purchase,travel,debit,Kenya,web,0
TXN100028,107.7,43.0,6,cash_withdrawal,travel,debit,Kenya,mobile,0
TXN100029,5.71,,9,purchase,telecom,debit,Somalia,web,0
TXN100030,112.24,25.0,-2,transfer,travel,debit,Ethiopia,mobile,0
TXN100031,22.44,38.0,20,purchase,,debit,Kenya,web,0
TXN100032,8.07,74.0,2,cash_withdrawal,grocery,credit,Ethiopia,web,0
TXN100033,356.84,28.0,11,transfer,grocery,debit,Somalia,web,0
TXN100034,404.48,55.0,2,cash_withdrawal,grocery,credit,Somalia,web,0
TXN100035,198.28,25.0,10,cash_withdrawal,telecom,debit,Kenya,mobile,yes
TXN100036,43.59,59.0,11,purchase,travel,credit,Djibouti,mobile,0
TXN100037,80.1503273345868,41.0,23,purchase,travel,credit,Somalia,web,1
TXN100038,138.33,52.0,15,cash_withdrawal,travel,credit,Somalia,mobile ,0
TXN100039,69.61,72.0,19,cash_withdrawal,travel,debit,Somalia,Web,0
TXN100040,15.62,31.0,17,transfer,,debit,Somalia,mobile,0
TXN100041,82.03,72.0,3,cash_withdrawal,grocery,debit,Ethiopia,mobile,0
TXN100042,4.2,31.0,21,cash_withdrawal,electronics,credit,Kenya,web,0
TXN100043,288.05,27.0,5,purchase,telecom,credit,Djibouti,web,0
TXN100044,35.93,29.0,20,cash_withdrawal,grocery,debit,Kenya,mobile,0
TXN100045,130.35,55.0,14,cash_withdrawal,,debit,Somalia,web,0
TXN100046,44.83,61.0,0,purchase,electronics,credit,Kenya,web,0
TXN100047,88.09,72.0,2,transfer,telecom,credit,Kenya,web,0
TXN100048,94.95,,4,purchase,telecom,debit,Djibouti,mobile,0
TXN100049,24.53,51.0,21,purchase,grocery,debit,Somalia,web,0
TXN100050,419.14,58.0,16,cash_withdrawal,travel,debit,Somalia,web,0
TXN100051,179.07,27.0,13,cash_withdrawal,telecom,credit,Somalia,mobile,0
TXN100052,336.61,34.0,8,transfer,electronics,credit,Kenya,web,0
TXN100053,270.26,,2,cash_withdrawal,telecom,debit,Somalia,web,0
TXN100054,109.33,20.0,12,transfer,grocery,debit,Kenya,mobile,no
TXN100055,305.93,48.0,2,transfer,travel,debit,Ethiopia,mobile,0
TXN100056,11.12,68.0,10,transfer,telecom,debit,Somalia,web,0
TXN100057,26.18,18.0,1,transfer,grocery,debit,Kenya,web,0
TXN100058,5.55,29.0,23,cash_withdrawal,telecom,credit,Ethiopia,web,0
TXN100059,47.22,56.0,14,purchase,travel,debit,Kenya,mobile,no
TXN100060,59.06,21.0,12,purchase,electronics,credit,Somalia,mobile,0
TXN100061,37.99,59.0,18,cash_withdrawal,grocery,credit,Somalia,web,0
TXN100062,211.75,30.0,21,cash_withdrawal,grocery,credit,Somalia,web,0
TXN100063,52.95,51.0,15,transfer,travel,credit,Somalia,web,0
TXN100064,39.58,59.0,17,cash_withdrawal,grocery,credit,Kenya,web,0
TXN100065,93.89,38.0,6,purchase,,credit,Djibouti,mobile,0
TXN100066,18.23,39.0,12,cash_withdrawal,grocery,credit,Kenya,web,0
TXN100067,194.46,74.0,3,cash_withdrawal,travel,credit,Somalia,Mobile,0
TXN100068,9.3,21.0,8,transfer,telecom,debit,Somalia,web,0
TXN100069,520.1,35.0,9,transfer,telecom,debit,Ethiopia,web,0
TXN100070,177.54,22.0,8,transfer,telecom,debit,Ethiopia,Mobile,no
TXN100071,26.58,36.0,6,transfer,grocery,debit,Somalia,mobile,0
TXN100072,0.66,19.0,14,purchase,,debit,Somalia,mobile,0
TXN100073,202.79,29.0,7,cash_withdrawal,travel,credit,Kenya,mobile ,0
TXN100074,147.25,34.0,18,cash_withdrawal,electronics,credit,Somalia,web,0
TXN100075,156.68,27.0,10,transfer,telecom,credit,Somalia,mobile,0
TXN100076,177.03,51.0,4,purchase,electronics,credit,Somalia,web,0
TXN100077,9.23,23.0,1,purchase,telecom,credit,Somalia,,0
TXN100078,53.27,5.0,9,cash_withdrawal,electronics,debit,Somalia,web,0
TXN100079,14.78,,15,transfer,telecom,debit,Somalia,web,0
TXN100080,238.62,28.0,22,cash_withdrawal,travel,credit,Somalia,mobile,0
TXN100081,117.16,74.0,12,cash_withdrawal,telecom,debit,Kenya,web,0
TXN100082,48.22,29.0,7,purchase,grocery,debit,Kenya,web,0
TXN100083,7.88,26.0,8,purchase,telecom,debit,Somalia,web,0
TXN100084,44.7,19.0,10,cash_withdrawal,telecom,debit,Ethiopia,mobile,0
TXN100085,47.2,25.0,10,transfer,travel,debit,Somalia,mobile,0
TXN100086,156.95,,22,transfer,grocery,credit,Somalia,web,0
TXN100087,121.79,70.0,15,cash_withdrawal,travel,debit,Somalia,mobile,0
TXN100088,261.87,,9,cash_withdrawal,,debit,Kenya,web,yes
TXN100089,76.69,,23,transfer,,credit,Somalia,mobile,0
TXN100090,15.28,,11,transfer,grocery,credit,Somalia,mobile,0
TXN100091,149.9,37.0,5,transfer,electronics,credit,Kenya,web,0
